source1_entity_id	candidate_entity_ids
S1-844896591	S2-119786776,S2-173851433,S2-281978323,S2-362218588,S2-368827389,S2-378989867,S2-426890506,S2-451564759,S2-593967293,S2-603881844,S2-607235549,S2-629115069,S2-689801333,S2-770705351,S2-897093331,S2-985768982,S3-105919096,S3-11966366,S3-130933459,S3-135199015,S3-315963677,S3-340697297,S3-521549707,S3-61389060,S3-648026083,S3-764095680,S3-765832602,S3-88143598
S1-539879230	S2-83796020,S3-117651018,S3-127246506,S3-945547250
S1-716830359	S2-212004909,S2-306163710,S2-795817041,S3-737589534,S3-762649005
S1-840168502	S2-119786776,S2-173851433,S2-281978323,S2-362218588,S2-368827389,S2-378989867,S2-426890506,S2-451564759,S2-593967293,S2-603881844,S2-607235549,S2-629115069,S2-689801333,S2-770705351,S2-897093331,S2-985768982,S3-105919096,S3-11966366,S3-130933459,S3-135199015,S3-315963677,S3-340697297,S3-521549707,S3-61389060,S3-648026083,S3-764095680,S3-765832602,S3-88143598
S1-832050262	S2-284813322,S2-304787089,S2-410496204,S2-500931426,S2-652666849,S2-668560965,S2-840990980,S2-918645314,S3-183414002,S3-355837587,S3-398017181,S3-404439727,S3-486697823,S3-775812412,S3-900915538,S3-935886167,S3-993905544
S1-874660306	S2-104524634,S2-134958859,S2-167066861,S2-195761214,S2-204003026,S2-211182661,S2-229315248,S2-248944678,S2-252035179,S2-254788701,S2-263273654,S2-279857860,S2-293206846,S2-331492553,S2-332155353,S2-45724657,S2-468610536,S2-508602353,S2-659345862,S2-674694354,S2-687087140,S2-71227189,S2-718979866,S2-742191837,S2-748833051,S2-774512583,S2-817680963,S2-846556799,S2-895820835,S2-899248471,S2-925511054,S3-289365741,S3-365385967,S3-690547751,S3-902040254
S1-610149670	S2-567523123,S2-601177655,S2-632922146,S2-809918482,S3-339503285,S3-588852284,S3-744911212,S3-830007043
S1-109593962	S2-141992373,S2-199917158,S2-323004664,S2-735478386,S2-760420730,S2-760818279,S2-808156553,S3-120613129,S3-254382046,S3-342201717,S3-419957904,S3-622354310,S3-646369824,S3-771958188,S3-805276123,S3-83300045,S3-849674713,S3-962775317
S1-424976769	S2-18126063,S2-49576209,S2-991618028,S3-180606404,S3-296240409,S3-296472077,S3-443109567,S3-611594281,S3-699279096
S1-117525650	S2-689298806,S3-230664101,S3-49524617,S3-632926404
S1-210849781	S2-101323984,S2-132710191,S2-196840499,S2-217734858,S2-263087763,S2-280290420,S2-30655389,S2-32892146,S2-394954854,S2-416949931,S2-516582366,S2-522433697,S2-526399876,S2-562117280,S2-661510998,S2-769952301,S2-778846012,S2-788794141,S2-794980221,S2-810922647,S2-820221567,S2-845708664,S2-880094418,S2-913620149,S3-171946523,S3-210870050,S3-240268161,S3-344479834,S3-421869378,S3-481797808,S3-546531002,S3-618327131,S3-649907207,S3-83150023,S3-895784814
S1-88224713	S2-276905368,S3-260126282
S1-586699005	S2-253918587,S2-280547917,S2-281649855,S2-283113478,S2-294026675,S2-328510362,S2-418988684,S2-424637912,S2-461459907,S2-481348736,S2-502323940,S2-530098661,S2-63486806,S2-753195192,S2-863175469,S2-895869840,S2-930294605,S2-938252571,S2-94092772,S2-945892982,S2-95596995,S2-97958611,S3-156227612,S3-2474878,S3-415111165,S3-415280222,S3-463034103,S3-507758386,S3-5654551,S3-619052323,S3-81507543,S3-837917726,S3-838845732,S3-879532817,S3-935083182
S1-971293452	S2-120183362,S2-150396530,S2-230029641,S3-514953309,S3-968522510,S3-99497076
S1-738693243	S2-109032876,S2-165151602,S2-188413481,S2-257177811,S2-275759123,S2-398710557,S2-879318531,S3-480955339,S3-490315823,S3-537345031
S1-643535950	S2-401486146,S2-585909854,S2-697994853,S3-358233206,S3-760214219
S1-615771798	S2-144917063,S2-191079935,S2-207899676,S2-234310003,S2-254869670,S2-279666188,S2-291567252,S2-360787128,S2-384052167,S2-46957492,S2-520587790,S2-642921016,S2-647649888,S2-653911746,S2-686931655,S2-713839018,S2-909126088,S2-970202926,S3-116693343,S3-177501736,S3-191319085,S3-216627372,S3-218051264,S3-236368944,S3-242910936,S3-384226724,S3-463112884,S3-669991259,S3-824120344,S3-980339562
S1-638404069	S2-589525381,S2-712226410,S3-149523209,S3-76850260
S1-895408600	S2-201642660,S2-585050764,S2-619241878,S3-197068966,S3-218151721,S3-436640710
S1-927467834	S2-644040359,S3-609886809,S3-665669309
S1-205963340	S2-110491323,S2-172161001,S2-241296330,S2-278023340,S2-321033055,S2-330866793,S2-349453927,S2-357064905,S2-443118769,S2-504744194,S2-523876750,S2-651640276,S2-679369160,S2-855400593,S2-858315918,S2-910898986,S3-12314441,S3-125201939,S3-218426671,S3-450130062,S3-465706051,S3-479239684,S3-479303266,S3-500864273,S3-510122982,S3-714602328,S3-729462198,S3-804438553,S3-883305462,S3-941028045
S1-879877635	S2-585791900,S2-794448353,S3-710198434
S1-505333132	S2-238550131,S3-426814874,S3-484968993,S3-551152157
S1-481281376	S2-395208292,S2-475059977,S2-53725717,S2-785119733,S3-422673767,S3-691181296,S3-969351732
S1-742910577	S2-179053407,S2-245155784,S2-254030250,S2-311174173,S2-953121169,S3-169419274,S3-243963900,S3-36701326,S3-455530891,S3-475509040,S3-574841541,S3-610257711,S3-725172583,S3-790627623,S3-802721273,S3-824486990,S3-887814001,S3-888368892,S3-927111882
S1-59400420	S2-131759909,S2-408820399,S2-676682520,S3-288603151,S3-506035776
S1-263067907	S2-880134181,S2-977267465,S3-847400465
S1-754942845	S2-153940033,S2-216323857,S2-551614479,S2-666179774,S2-933629691,S2-93854125,S3-469442740,S3-936122926
S1-320200542	S2-130343102,S2-681029364,S2-974154490,S3-474046935,S3-687264977
S1-107415535	S2-253738970,S3-33434908,S3-443569546
S1-321648485	S2-164513100,S2-276463791,S2-540973913,S2-64373652,S3-264604047,S3-400472893,S3-487999908,S3-514433041,S3-544120209,S3-772750581,S3-932082996
S1-47773771	S2-15538892,S2-163907414,S2-209966010,S2-31495493,S2-43587955,S2-454756088,S2-467699852,S2-488842690,S2-520229980,S2-525390784,S2-554758433,S2-585132276,S2-631975485,S2-671061897,S2-695255656,S2-781532039,S2-797403279,S2-804096484,S2-891724637,S3-14411598,S3-290935183,S3-312828212,S3-313623455,S3-501559207,S3-509162315,S3-515914744,S3-614161266,S3-664975636,S3-744588467,S3-783274386,S3-818961399,S3-866706087,S3-86836573,S3-973042357,S3-982996398
